Date,Global_Position.WS,Global_Position.DSN,Global_Position.EIW
11/7/19,,5,
11/14/19,,5,102
11/21/19,21,7,2
11/28/19,18,6,3
12/5/19,26,8,5
12/12/19,31,9,10
12/19/19,14,8,11
12/26/19,36,13,16
1/2/20,22,7,10
1/9/20,21,8,11
1/16/20,29,8,13
1/23/20,39,10,13
1/30/20,40,10,11
2/6/20,59,5,11
2/13/20,63,4,11
2/20/20,78,6,12
2/27/20,82,4,13
3/5/20,100,4,21
3/19/20,96,4,26
3/26/20,104,4,40
4/2/20,109,2,34
4/9/20,100,4,34
4/16/20,103,4,35
4/23/20,108,5,40
4/30/20,107,6,43
5/7/20,119,6,50
5/14/20,118,9,55
5/21/20,64,9,60
5/28/20,24,8,61
6/4/20,21,8,69
6/11/20,15,7,63
6/18/20,7,8,68
6/25/20,7,9,71
7/2/20,6,12,73
7/9/20,5,14,82
7/16/20,5,21,102
7/23/20,4,20,94
7/30/20,7,35,111
8/6/20,4,27,79
8/13/20,5,32,90
8/20/20,5,34,93
8/27/20,6,40,103
9/3/20,7,40,105
9/10/20,6,41,109
9/17/20,5,41,110
9/24/20,7,41,114
10/1/20,8,46,128
10/8/20,10,58,136
10/15/20,9,47,131
10/22/20,11,46,119
10/29/20,11,53,133
11/5/20,15,70,152
11/12/20,13,60,141
11/19/20,12,61,109
11/26/20,20,70,132
12/3/20,25,76,145
12/10/20,21,54,127
12/17/20,42,77,176
12/24/20,44,75,
12/31/20,27,48,176
1/7/21,17,39,147
1/14/21,22,45,153
1/21/21,28,46,159
1/28/21,29,46,158
2/4/21,27,46,161
2/11/21,29,49,172
2/18/21,33,43,181
2/25/21,33,49,190
3/4/21,36,49,169
3/11/21,44,57,181
3/18/21,27,45,123
3/25/21,29,43,134
