Date,Global_streams.WS,US_streams.WS,Global_streams.EIW,US_streams.EIW,Global_streams.DSN,US_streams.DSN
11/7/19,,,,,"27,510,048","6,498,336"
11/14/19,,,"6,039,402","2,254,628","25,855,005","4,860,747"
11/21/19,"13,067,797","5,465,192","40,323,676","11,794,982","25,716,644","4,753,717"
11/28/19,"15,727,628","5,482,936","30,455,759","7,926,800","25,433,949","4,370,345"
12/5/19,"12,448,702","3,862,193","27,081,940","7,130,246","25,181,606","4,137,710"
12/12/19,"13,162,182","4,524,384","22,700,664","6,153,403","22,708,996","3,903,782"
12/19/19,"21,814,400","8,252,165","22,786,542","6,023,398","24,730,286","4,307,806"
12/26/19,"15,195,825","5,152,495","21,586,527","5,597,652","23,474,622","3,973,162"
1/2/20,"14,548,153","4,811,184","21,828,884","5,755,926","25,355,075","4,566,814"
1/9/20,"15,046,960","4,793,358","23,713,150","6,181,388","27,338,884","5,216,621"
1/16/20,"14,108,205","4,418,408","23,297,771","5,944,121","29,149,812","5,459,978"
1/23/20,"12,650,858","3,949,802","21,786,149","5,538,223","28,228,768","5,143,850"
1/30/20,"11,924,877","3,822,672","26,396,743","7,152,812","28,864,493","5,468,234"
2/6/20,"9,394,184","2,916,694","26,024,099","6,775,350","31,619,914","6,206,002"
2/13/20,"8,483,814","2,664,219","25,681,970","6,541,461","34,359,604","6,911,464"
2/20/20,"8,152,387","2,554,541","24,326,356","6,175,996","32,931,653","6,325,177"
2/27/20,"8,002,244","2,578,377","21,349,420","5,545,262","32,565,008","6,515,970"
3/5/20,"8,067,772","2,608,862","18,851,747","4,886,276","33,460,126","6,659,492"
3/19/20,"6,924,413","2,151,071","14,459,714","3,642,827","30,233,523","5,731,093"
3/26/20,"6,611,114","2,061,276","13,380,285","3,335,802","29,155,117","5,441,361"
4/2/20,"6,256,764","2,010,318","12,891,702","3,273,961","37,779,776","7,458,752"
4/9/20,"6,138,046","1,976,777","12,200,048","3,164,196","33,990,470","6,471,152"
4/16/20,"5,900,539","1,893,622","11,414,250","3,022,538","31,564,263","5,970,144"
4/23/20,"5,918,056","1,913,675","11,172,955","2,961,020","29,891,608","5,536,860"
4/30/20,"5,801,880","1,926,766","10,573,399","2,865,384","27,328,676","4,911,547"
5/7/20,"5,737,705","1,933,680","9,926,659","2,733,209","25,769,315","4,805,920"
5/14/20,"5,724,487","1,891,664","9,362,510","2,585,909","23,981,581","4,435,123"
5/21/20,"8,459,763","2,757,401","8,877,852","2,489,806","23,461,073","4,374,808"
5/28/20,"14,147,420","4,398,421","8,577,352","2,392,698","22,476,417","4,289,118"
6/4/20,"15,505,154","4,459,225","8,244,527","2,266,745","21,283,617","3,751,227"
6/11/20,"16,911,695","5,112,178","8,228,306","2,326,597","20,652,045","3,694,815"
6/18/20,"20,988,333","6,054,204","8,027,272","2,298,811","20,385,467","3,754,545"
6/25/20,"22,472,958","6,028,536","7,696,526","2,205,004","19,345,469","3,518,585"
7/2/20,"24,623,718","6,541,264","7,539,582","2,181,380","18,537,909","3,593,210"
7/9/20,"26,154,801","6,689,854","7,447,924","2,057,171","17,648,641","3,144,174"
7/16/20,"26,440,765","6,237,976","7,250,822","2,035,294","16,617,178","2,922,123"
7/23/20,"26,680,752","5,991,322","7,147,478","1,983,372","15,509,854","2,488,178"
7/30/20,"26,158,284","5,765,082","6,982,005","1,930,108","14,454,799","2,340,841"
8/6/20,"27,694,331","5,999,126","7,927,140","2,426,662","13,520,839","2,133,104"
8/13/20,"28,265,526","5,950,325","6,996,720","2,013,915","13,222,509","2,114,244"
8/20/20,"27,982,035","6,061,009","6,813,637","1,936,596","12,374,101","2,042,857"
8/27/20,"27,020,894","5,602,418","6,635,556","1,863,277","11,904,908","1,965,268"
9/3/20,"26,563,881","5,315,675","6,553,005","1,834,217","11,517,192","1,917,602"
9/10/20,"26,120,174","5,239,672","6,324,745","1,742,424","11,198,787","1,850,194"
9/17/20,"25,237,621","4,801,434","6,243,056","1,725,783","10,795,691","1,747,784"
9/24/20,"24,284,713","4,583,908","6,156,380","1,678,284","10,434,293","1,700,276"
10/1/20,"23,372,224","4,323,798","6,010,328","1,610,051","10,461,155","1,684,606"
10/8/20,"21,785,491","4,019,414","5,856,203","1,560,187","10,146,092","1,690,518"
10/15/20,"20,927,094","3,935,561","5,833,259","1,553,864","10,412,518","1,692,119"
10/22/20,"8,631,776","3,782,070","2,575,589","1,549,264","4,404,389","1,634,564"
10/29/20,"20,590,555","3,724,638","5,785,930","1,482,711","9,673,225","1,493,316"
11/5/20,"18,817,219","3,378,844","5,492,178",,"9,217,592","1,469,988"
11/12/20,"18,095,305","3,283,614","5,713,746","1,489,544","9,067,614","1,459,717"
11/19/20,"17,617,278","3,217,583","6,628,081","1,794,486","8,879,219",
11/26/20,"16,779,782","3,220,140","6,245,718","1,642,793","9,074,550",
12/3/20,"16,147,806","2,946,368","6,570,151","1,664,070","10,095,097","1,592,457"
12/10/20,"15,968,529","3,065,581","7,010,341","1,822,469","11,302,395","1,850,629"
12/17/20,"13,929,648","2,454,739","6,190,520",,"10,150,513",
12/24/20,"13,617,621","2,356,397",,,"10,394,723",
12/31/20,"13,917,140","2,487,380","5,584,975",,"10,738,440","1,694,218"
1/7/21,"14,205,168","2,840,470","5,448,225","1,454,612","10,883,889","1,986,446"
1/14/21,"13,773,985","2,478,933","5,581,106",,"10,619,398","1,817,957"
1/21/21,"12,647,329","2,241,618","5,475,616",,"10,288,791","1,761,811"
1/28/21,"12,347,071","2,153,331","5,588,090","1,446,148","10,084,123","1,702,957"
2/4/21,"12,166,032","2,119,279","5,359,516",,"10,168,037","1,740,568"
2/11/21,"11,748,557","2,031,163","5,222,243",,"9,675,562","1,650,324"
2/18/21,"11,370,885","1,922,408","5,019,556",,"10,024,258","1,682,854"
2/25/21,"11,776,725","2,095,827","5,040,183",,"9,928,710","1,711,171"
3/4/21,"11,556,311","2,110,527","5,340,682","1,465,140","9,773,028","1,707,676"
3/11/21,"11,051,092","2,098,828","5,169,457",,"9,265,064","1,683,580"
3/18/21,"13,225,891","2,535,840","6,096,225","1,739,863","10,839,837","2,139,614"
3/25/21,"13,453,266","2,527,452","6,053,667","1,642,394","11,826,689","2,259,637"
,,,,,,
